Name: name2
Start coordinates: (11, 123, 3)
Velocity: (11, 234, 12)
t - time past
r - real
p - predicted
s - sigma

t: 0	r: 11 123 3	p: 11.0892 122.907 3	s: 0.00271421
t: 1	r: 22 357 15	p: 22.1047 356.908 15	s: 0.00158851
t: 2	r: 44 825 39	p: 44.0457 824.582 39	s: 0.000385009
t: 3	r: 77 1527 75	p: 77.6904 1526.13 75	s: 0.00299469
t: 4	r: 121 2463 123	p: 120.66 2460.18 123	s: 0.00101261
t: 5	r: 176 3633 183	p: 175.117 3633.7 183	s: 0.00167331
t: 6	r: 242 5037 255	p: 241.134 5041.58 255	s: 0.00123118
t: 7	r: 319 6675 339	p: 319.884 6682.23 339	s: 0.000991561
t: 8	r: 407 8547 435	p: 407.314 8550.85 435	s: 0.000298132
t: 9	r: 506 10653 543	p: 502.995 10661.7 543	s: 0.00199832
t: 10	r: 616 12993 663	p: 613.808 13000.3 663	s: 0.00120053
t: 11	r: 737 15567 795	p: 733.151 15567.5 795	s: 0.00174104
t: 12	r: 869 18375 939	p: 867.613 18372.7 939	s: 0.000533698
t: 13	r: 1012 21417 1095	p: 994.83 21428.7 1095	s: 0.00565841
t: 14	r: 1166 24693 1263	p: 1156.72 24672.2 1263	s: 0.00266897
t: 15	r: 1331 28203 1443	p: 1337.68 28209.2 1443	s: 0.00167415
t: 16	r: 1507 31947 1635	p: 1506.94 31968.7 1635	s: 0.00022632
t: 17	r: 1694 35925 1839	p: 1650.14 35959 1839	s: 0.0086366
t: 18	r: 1892 40137 2055	p: 1936.13 40122.2 2055	s: 0.00777569
t: 19	r: 2101 44583 2283	p: 2083.74 44584.8 2283	s: 0.00273798
t: 20	r: 2321 49263 2523	p: 2329.91 49231.9 2523	s: 0.00129747
t: 21	r: 2552 54177 2775	p: 2569.77 54174.3 2775	s: 0.00232121
t: 22	r: 2794 59325 3039	p: 2806.32 59308.5 3039	s: 0.00147279
t: 23	r: 3047 64707 3315	p: 3023.68 64715.3 3315	s: 0.00255199
t: 24	r: 3311 70323 3603	p: 3337.4 70391.2 3603	s: 0.00267785
t: 25	r: 3586 76173 3903	p: 3553.7 76148.9 3903	s: 0.00300412
t: 26	r: 3872 82257 4215	p: 3855.21 82239.2 4215	s: 0.00144763
t: 27	r: 4169 88575 4539	p: 4125.33 88543.9 4539	s: 0.00349378
t: 28	r: 4477 95127 4875	p: 4494.94 95069.9 4875	s: 0.0013504
t: 29	r: 4796 101913 5223	p: 4827.68 101900 5223	s: 0.00220247
t: 30	r: 5126 108933 5583	p: 5185.23 108968 5583	s: 0.00385307
t: 31	r: 5467 116187 5955	p: 5518.98 116181 5955	s: 0.00316959
t: 32	r: 5819 123675 6339	p: 5821.42 123639 6339	s: 0.000169088
t: 33	r: 6182 131397 6735	p: 6224.03 131462 6735	s: 0.00227212
t: 34	r: 6556 139353 7143	p: 6561.01 139362 7143	s: 0.000255417
t: 35	r: 6941 147543 7563	p: 6992.73 147584 7563	s: 0.002486
t: 36	r: 7337 155967 7995	p: 7289.54 156012 7995	s: 0.00215827
t: 37	r: 7744 164625 8439	p: 7824.79 164566 8439	s: 0.00347979
t: 38	r: 8162 173517 8895	p: 8085.73 173400 8895	s: 0.0031229
t: 39	r: 8591 182643 9363	p: 8503.41 182541 9363	s: 0.00340351
t: 40	r: 9031 192003 9843	p: 9079.25 191852 9843	s: 0.00179996
t: 41	r: 9482 201597 10335	p: 9375.42 201786 10335	s: 0.00375985
t: 42	r: 9944 211425 10839	p: 9887.83 211212 10839	s: 0.00191272
t: 43	r: 10417 221487 11355	p: 10356.3 221721 11355	s: 0.00197497
t: 44	r: 10901 231783 11883	p: 10952.3 231726 11883	s: 0.00157105
t: 45	r: 11396 242313 12423	p: 11409 242232 12423	s: 0.000395603
t: 46	r: 11902 253077 12975	p: 11884.5 252858 12975	s: 0.000568707
t: 47	r: 12419 264075 13539	p: 12392.2 264313 13539	s: 0.00078035
t: 48	r: 12947 275307 14115	p: 12755.4 275499 14115	s: 0.0049382
t: 49	r: 13486 286773 14703	p: 13323.7 286600 14703	s: 0.00401606
t: 50	r: 14036 298473 15303	p: 14043.1 298410 15303	s: 0.000182116
t: 51	r: 14597 310407 15915	p: 14591.7 310212 15915	s: 0.000242122
t: 52	r: 15169 322575 16539	p: 15047.3 322461 16539	s: 0.00267593
t: 53	r: 15752 334977 17175	p: 15871.3 335478 17175	s: 0.00257321
t: 54	r: 16346 347613 17823	p: 16308.6 347784 17823	s: 0.000780921
t: 55	r: 16951 360483 18483	p: 16873.7 360683 18483	s: 0.00153096
t: 56	r: 17567 373587 19155	p: 17553.6 373859 19155	s: 0.000351984
t: 57	r: 18194 386925 19839	p: 18301.4 386963 19839	s: 0.00196861
t: 58	r: 18832 400497 20535	p: 18812 400541 20535	s: 0.000355783
t: 59	r: 19481 414303 21243	p: 19640.8 414385 21243	s: 0.00273474
t: 60	r: 20141 428343 21963	p: 19935.4 427834 21963	s: 0.00342579
t: 61	r: 20812 442617 22695	p: 20660.2 442626 22695	s: 0.00243116
t: 62	r: 21494 457125 23439	p: 21634.7 456881 23439	s: 0.00218897
t: 63	r: 22187 471867 24195	p: 22117 471801 24195	s: 0.00105327
t: 64	r: 22891 486843 24963	p: 23009.8 486324 24963	s: 0.00176565
t: 65	r: 23606 502053 25743	p: 23039.2 501936 25743	s: 0.00800436
t: 66	r: 24332 517497 26535	p: 24440.4 517469 26535	s: 0.00148557
t: 67	r: 25069 533175 27339	p: 25154.9 532752 27339	s: 0.00117281
t: 68	r: 25817 549087 28155	p: 25622.5 548956 28155	s: 0.00251305
t: 69	r: 26576 565233 28983	p: 26292.8 565331 28983	s: 0.00355198
t: 70	r: 27346 581613 29823	p: 27437.3 582549 29823	s: 0.001236
t: 71	r: 28127 598227 30675	p: 28173.6 598954 30675	s: 0.000684736
t: 72	r: 28919 615075 31539	p: 28866 615314 31539	s: 0.000624839
t: 73	r: 29722 632157 32415	p: 29795.6 632804 32415	s: 0.000892945
t: 74	r: 30536 649473 33303	p: 30208.6 649309 33303	s: 0.00357516
t: 75	r: 31361 667023 34203	p: 31277.2 666907 34203	s: 0.000892895
t: 76	r: 32197 684807 35115	p: 32617.7 684748 35115	s: 0.00435512
t: 77	r: 33044 702825 36039	p: 33153.2 701918 36039	s: 0.00118224
t: 78	r: 33902 721077 36975	p: 33562.9 720479 36975	s: 0.00334534
t: 79	r: 34771 739563 37923	p: 35283.3 739779 37923	s: 0.00491252
t: 80	r: 35651 758283 38883	p: 36048.3 759420 38883	s: 0.00374841
t: 81	r: 36542 777237 39855	p: 36198.8 777403 39855	s: 0.0031312
t: 82	r: 37444 796425 40839	p: 37503.5 795861 40839	s: 0.00058005
t: 83	r: 38357 815847 41835	p: 38916.4 816584 41835	s: 0.00487028
t: 84	r: 39281 835503 42843	p: 38672.7 835443 42843	s: 0.00516218
t: 85	r: 40216 855393 43863	p: 40178.1 855587 43863	s: 0.000323367
t: 86	r: 41162 875517 44895	p: 40564.1 874662 44895	s: 0.00485299
t: 87	r: 42119 895875 45939	p: 42333.2 895858 45939	s: 0.00169554
t: 88	r: 43087 916467 46995	p: 43426.1 915448 46995	s: 0.00264963
t: 89	r: 44066 937293 48063	p: 43657.4 937536 48063	s: 0.00309221
t: 90	r: 45056 958353 49143	p: 45391.2 959169 49143	s: 0.00249573
t: 91	r: 46057 979647 50235	p: 46751.3 979170 50235	s: 0.00502722
t: 92	r: 47069 1.00118e+06 51339	p: 46887.2 1.00039e+06 51339	s: 0.00131411
t: 93	r: 48092 1.02294e+06 52455	p: 48314.7 1.02345e+06 52455	s: 0.00155296
t: 94	r: 49126 1.04493e+06 53583	p: 49279.4 1.04389e+06 53583	s: 0.00109239
t: 95	r: 50171 1.06716e+06 54723	p: 49742.5 1.06658e+06 54723	s: 0.00285262
t: 96	r: 51227 1.08963e+06 55875	p: 51166.8 1.09043e+06 55875	s: 0.000462254
t: 97	r: 52294 1.11232e+06 57039	p: 52269.3 1.11134e+06 57039	s: 0.000335082
t: 98	r: 53372 1.13526e+06 58215	p: 52566.9 1.1348e+06 58215	s: 0.00503013
t: 99	r: 54461 1.15842e+06 59403	p: 54429.5 1.15893e+06 59403	s: 0.000242549
t: 100	r: 55561 1.18182e+06 60603	p: 56435.6 1.18193e+06 60603	s: 0.00524688
t: 101	r: 56672 1.20546e+06 61815	p: 57529.5 1.20473e+06 61815	s: 0.00504794
t: 102	r: 57794 1.22932e+06 63039	p: 59410.4 1.22866e+06 63039	s: 0.00932472
t: 103	r: 58927 1.25343e+06 64275	p: 58740 1.25209e+06 64275	s: 0.00111595
